,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
384,garissa,39,KE,1564418433,64,-0.46,39.64,297.49,9.19
385,kloulklubed,75,PW,1564418434,78,7.04,134.26,300.15,5.1
386,boa vista,75,BR,1564418434,58,2.82,-60.67,304.15,1.5
387,kokopo,100,PG,1564418434,98,-4.34,152.27,293.99,1.3
388,inhambane,20,MZ,1564418434,77,-23.87,35.38,294.15,2.1
389,maniitsoq,0,GL,1564418435,77,65.42,-52.9,280.09,3.75
390,katastarion,20,GR,1564418435,51,37.83,20.77,303.15,4.6
391,tarime,22,TZ,1564418435,58,-1.35,34.38,292.19,0.97
392,ibra,92,OM,1564418435,53,22.69,58.55,302.19,4.18
393,peace river,20,CA,1564418435,59,56.23,-117.29,290.15,5.7
394,vao,10,EE,1564418436,64,59.1,26.19,288.49,1.22
395,hay river,75,CA,1564418436,48,60.82,-115.79,292.15,4.6
396,pionerskiy,100,RU,1564418436,98,61.2,62.86,287.79,1.33
397,doha,0,QA,1564418410,60,25.29,51.53,314.15,2.6
398,zoniana,20,GR,1564418436,62,35.3,24.83,304.15,8.2
399,jawa,70,ID,1564418436,87,5.32,95.93,295.69,1.79
400,troitsk,4,RU,1564418437,73,54.08,61.55,287.59,4.82
401,sanming,0,CN,1564418437,86,26.24,117.6,296.49,1.35
402,qaqortoq,40,GL,1564418437,41,60.72,-46.03,289.15,5.7
403,agirish,88,RU,1564418438,98,61.92,63.02,287.99,2.96
404,camacha,75,PT,1564418438,73,33.08,-16.33,296.15,6.7
405,rutland,40,US,1564418435,54,43.61,-72.97,303.71,3.1
406,marsa matruh,0,EG,1564418438,66,31.35,27.25,303.15,4.1
407,hanna,59,CA,1564418438,51,51.64,-111.93,294.82,4.02
408,margate,75,AU,1564418438,56,-43.03,147.26,280.15,1.12
409,beyneu,0,KZ,1564418439,38,45.32,55.19,301.29,4.85
410,necochea,100,AR,1564418224,82,-38.55,-58.74,285.37,2.68
411,cauquenes,88,CL,1564418439,76,-35.97,-72.32,287.29,2.42
412,denpasar,40,ID,1564418288,88,-8.65,115.22,298.15,4.6
413,litovko,32,RU,1564418439,96,49.24,135.18,289.29,1.01
414,esna,75,RO,1564418439,60,45.2,27.57,297.15,1.0
415,ocos,40,GT,1564418440,58,14.51,-92.19,304.15,2.1
416,manzhouli,24,CN,1564418349,75,49.6,117.43,288.89,3.03
417,rochegda,100,RU,1564418440,97,62.67,43.41,280.69,4.14
418,polyarnyy,75,RU,1564418440,75,69.2,33.45,281.15,6.0
419,bakel,93,SN,1564418440,40,14.9,-12.46,308.19,2.65
420,madinat sittah uktubar,0,EG,1564418441,38,29.82,31.05,307.15,4.1
421,victoria,75,BN,1564418441,83,5.28,115.24,299.15,1.0
422,susehri,0,TR,1564418441,58,40.16,38.09,287.59,1.34
423,dubbo,75,AU,1564418441,81,-32.25,148.6,283.15,0.47
424,banda aceh,38,ID,1564418183,71,5.56,95.32,301.39,5.83
425,chapais,90,CA,1564418442,64,49.78,-74.86,297.15,3.6
426,anloga,75,GH,1564418442,78,5.79,0.9,300.15,6.7
427,zemes,0,RO,1564418442,44,46.58,26.42,300.15,4.1
428,carahue,90,CL,1564418442,87,-38.71,-73.16,286.15,5.1
429,moron,4,HT,1564418442,66,18.56,-74.26,301.69,1.45
430,petropavlovsk-kamchatskiy,75,RU,1564418443,93,53.05,158.65,286.15,0.45
431,tilichiki,89,RU,1564418443,93,60.47,166.1,283.99,1.0
432,gisborne,99,NZ,1564418360,99,-38.66,178.02,278.71,0.89
433,snyder,1,US,1564418169,51,32.72,-100.92,304.82,2.6
434,nekhayevskiy,79,RU,1564418443,82,50.41,41.76,290.59,2.69
435,mehamn,75,NO,1564418444,81,71.03,27.85,280.15,6.2
436,presidente medici,15,BR,1564418444,24,-11.18,-61.9,308.09,2.55
437,huoqiu,87,CN,1564418444,67,32.34,116.27,301.69,1.61
438,sitka,0,US,1564418444,54,37.17,-99.65,303.15,2.68
439,kabwe,14,ZM,1564418444,37,-14.44,28.44,289.19,3.05
440,vanderhoof,78,CA,1564418315,42,54.02,-124.02,290.99,2.04
441,ferkessedougou,74,CI,1564418445,77,9.6,-5.2,300.39,1.23
442,usinsk,100,RU,1564418445,92,66.0,57.56,286.89,12.14
443,grand-santi,30,GF,1564418445,90,4.27,-54.38,300.29,0.59
444,bambanglipuro,57,ID,1564418445,85,-7.95,110.28,295.99,2.72
445,verkhoyansk,38,RU,1564418445,84,67.55,133.39,279.39,4.33
446,mirzapur,40,IN,1564418446,84,25.15,82.57,303.15,4.1
447,riga,0,LV,1564418179,60,56.95,24.11,295.15,4.1
448,jiazi,0,CN,1564418446,94,19.61,110.49,299.15,1.14
449,sabzevar,20,IR,1564418235,26,36.21,57.68,307.15,10.3
450,brae,75,GB,1564418446,93,60.4,-1.35,290.15,6.7
451,albanel,40,CA,1564418446,42,48.88,-72.44,302.15,5.1
452,mapiripan,12,CO,1564418447,55,2.89,-72.13,303.29,3.15
453,iquitos,40,PE,1564418447,58,-3.75,-73.25,302.15,1.5
454,atar,0,MR,1564418447,12,20.52,-13.05,314.89,3.84
455,port augusta,90,AU,1564418447,93,-32.49,137.76,281.15,2.6
456,mastic beach,1,US,1564418447,70,40.77,-72.85,306.48,4.6
457,nibe,100,DK,1564418448,62,56.98,9.64,300.37,0.45
458,saint-francois,0,FR,1564418448,30,46.42,3.91,301.15,1.0
459,port moresby,63,PG,1564418448,80,-9.47,147.16,297.69,8.28
460,ati,100,TD,1564418448,53,13.21,18.34,302.49,2.2
461,bom jesus,38,BR,1564418449,24,-9.08,-44.36,306.79,3.66
462,trairi,12,BR,1564418449,35,-3.28,-39.27,305.89,3.69
463,kununurra,28,AU,1564418449,82,-15.77,128.74,290.15,1.39
464,keti bandar,100,PK,1564418449,83,24.14,67.45,301.59,12.32
465,beringovskiy,62,RU,1564418450,82,63.05,179.32,283.49,2.39
466,jining,100,CN,1564418450,90,35.41,116.58,298.59,1.58
467,hun,0,BE,1564418450,31,50.34,4.87,299.82,1.5
468,nhamunda,54,BR,1564418450,36,-2.19,-56.71,307.59,1.59
469,san patricio,94,PY,1564418450,90,-26.98,-56.83,290.49,1.76
470,ramjibanpur,76,IN,1564418451,83,22.83,87.62,300.19,4.14
471,polunochnoye,100,RU,1564418451,97,60.87,60.43,282.89,1.1
472,almenara,88,BR,1564418451,64,-16.17,-40.69,295.39,2.21
473,jiamusi,100,CN,1564418451,95,46.81,130.37,295.99,2.74
474,hobyo,59,SO,1564418451,73,5.35,48.53,298.09,9.61
475,muros,75,ES,1564418451,63,42.77,-9.06,293.71,4.6
476,puerto del rosario,20,ES,1564418339,51,28.5,-13.86,300.15,9.3
477,pilna,0,UA,1564418452,33,50.16,37.0,303.15,3.0
478,pochutla,75,MX,1564418452,58,15.74,-96.47,305.93,4.1
479,marawi,100,PH,1564418452,91,8.0,124.29,297.59,2.24
480,sao joao da barra,75,BR,1564418452,78,-21.64,-41.05,296.15,6.2
481,idlib,0,SY,1564418453,58,35.93,36.64,303.15,10.8
482,stokmarknes,0,NO,1564418453,51,68.56,14.91,290.15,5.1
483,najran,40,SA,1564418453,13,17.54,44.22,309.15,3.6
484,vostok,98,RU,1564418453,97,46.45,135.83,293.39,1.79
485,southampton,0,GB,1564418453,49,50.9,-1.4,297.15,4.6
486,yar-sale,40,RU,1564418454,64,66.83,70.83,284.09,7.52
487,port lincoln,80,AU,1564418454,71,-34.72,135.86,287.29,6.21
488,pelotas,0,BR,1564418454,82,-31.77,-52.34,290.15,1.0
489,emporia,20,US,1564418454,69,38.4,-96.18,303.71,6.2
490,tiruttani,75,IN,1564418454,52,13.18,79.61,305.15,2.1
491,liverpool,20,GB,1564418455,50,53.41,-2.98,297.59,1.0
492,guantanamo,0,BO,1564418455,42,-16.14,-62.05,302.15,7.7
493,hovd,20,NO,1564418455,40,63.83,10.7,303.15,5.7
494,riyadh,0,SA,1564418344,11,24.63,46.72,313.15,4.6
495,stadtallendorf,40,DE,1564418455,68,50.83,9.02,299.82,2.6
496,porto walter,0,BR,1564418455,37,-8.27,-72.74,306.59,0.11
497,rovaniemi,20,FI,1564418456,50,66.5,25.72,284.15,7.7
498,la victoria,0,VE,1564418456,58,10.23,-67.33,300.37,0.45
499,vila franca do campo,40,PT,1564418456,64,37.72,-25.43,296.15,5.7
500,suez,0,EG,1564418456,36,29.97,32.54,300.99,5.62
501,praia,20,BR,1564418456,33,-20.25,-43.81,299.15,4.6
502,kinsale,90,IE,1564418457,100,51.71,-8.52,287.59,3.1
503,turukhansk,41,RU,1564418457,85,65.8,87.96,282.89,1.74
504,kosh-agach,99,RU,1564418457,54,49.99,88.66,284.69,1.98
505,nadym,72,RU,1564418457,62,65.53,72.51,288.79,9.26
506,santa barbara,90,US,1564418270,82,34.42,-119.7,300.93,2.51
507,baruun-urt,27,MN,1564418458,92,46.68,113.28,285.59,4.32
508,taltal,0,CL,1564418458,51,-25.41,-70.49,291.09,3.05
509,meulaboh,61,ID,1564418458,75,4.14,96.13,300.59,3.2
510,townsville,40,AU,1564418458,93,-19.26,146.82,290.93,1.5
511,antofagasta,75,CL,1564418406,76,-23.65,-70.4,291.48,6.2
512,formosa,16,BR,1564418459,31,-15.55,-47.33,300.29,2.94
513,nouadhibou,0,MR,1564418459,57,20.93,-17.03,300.15,7.7
514,hadzici,40,BA,1564418225,77,43.82,18.21,300.15,4.1
515,zyryanka,52,RU,1564418459,66,65.73,150.89,279.89,3.86
516,oksfjord,75,NO,1564418459,66,70.24,22.35,283.15,6.2
517,etampes,0,FR,1564418460,26,48.43,2.15,302.59,4.6
518,jerome,1,US,1564418460,21,34.75,-112.11,307.04,2.1
519,lorengau,100,PG,1564418460,85,-2.02,147.27,297.39,1.72
520,fangshan,0,CN,1564418460,88,39.75,116.14,298.15,2.0
521,brekstad,20,NO,1564418460,60,63.69,9.67,303.15,6.7
522,narsaq,40,GL,1564418460,41,60.91,-46.05,289.15,5.7
523,noumea,0,NC,1564418461,93,-22.28,166.46,286.15,1.0
524,vadso,75,NO,1564418461,81,70.07,29.75,281.15,8.2
525,pombia,20,GR,1564418461,62,35.01,24.87,302.59,8.2
526,orlik,0,PL,1564418461,61,53.95,17.74,302.04,4.6
527,paramirim,6,BR,1564418461,25,-13.44,-42.24,300.99,4.79
528,japura,70,ID,1564418462,88,-0.42,102.29,296.99,0.75
529,rawson,54,AR,1564418462,50,-43.3,-65.11,286.19,9.07
530,manggar,79,ID,1564418462,93,-2.88,108.27,296.29,1.18
531,sol-iletsk,37,RU,1564418462,64,51.16,55.0,288.09,3.73
532,bonfim,31,GY,1564418462,54,3.36,-59.84,304.69,0.65
533,neiafu,75,TO,1564418463,88,-18.65,-173.98,298.15,3.1
534,nemuro,100,JP,1564418463,98,43.32,145.57,291.49,5.41
535,tombouctou,96,ML,1564418463,25,16.77,-3.01,312.19,3.87
536,visby,75,SE,1564418463,78,57.64,18.3,297.59,5.7
537,malazgirt,20,TR,1564418463,22,39.15,42.54,293.89,4.13
538,xudat,0,AZ,1564418464,60,41.63,48.68,294.49,3.89
539,ucluelet,90,CA,1564418171,100,48.94,-125.55,293.71,4.1
540,zakamensk,65,RU,1564418464,94,50.38,103.29,282.59,1.34
541,el alto,20,BO,1564418464,9,-16.5,-68.19,284.15,3.6
542,leczna,75,PL,1564418464,88,51.3,22.88,298.15,4.1
543,san quintin,100,PH,1564418465,92,17.54,120.52,296.79,1.01
544,bandrele,0,YT,1564418465,83,-12.91,45.19,298.15,5.7
545,constantine,0,DZ,1564418171,32,36.36,6.61,307.15,5.7
546,constitucion,5,MX,1564418465,60,23.99,-104.67,295.93,1.5
547,grindavik,20,IS,1564418465,77,63.84,-22.43,292.15,2.1
548,merauke,79,ID,1564418465,82,-8.49,140.4,297.49,8.33
549,la asuncion,0,AR,1564418466,20,-26.05,-65.39,291.89,2.61
550,maceio,40,BR,1564418466,44,-9.67,-35.74,300.15,5.1
551,imbituba,20,BR,1564418466,64,-28.24,-48.67,297.15,5.1
552,gloucester,0,GB,1564418466,38,51.87,-2.25,297.59,4.6
553,rapid valley,90,US,1564418466,60,44.06,-103.15,296.48,3.1
554,klyuchi,27,RU,1564418467,32,52.25,79.17,297.19,6.07
555,sao miguel do araguaia,0,BR,1564418282,18,-13.28,-50.16,309.79,2.07
556,sakaiminato,75,JP,1564418467,83,35.55,133.23,300.15,2.6
557,airdrie,20,CA,1564418421,67,51.29,-114.01,294.26,4.1
558,general pico,50,AR,1564418467,47,-35.66,-63.75,290.69,0.82
559,copiapo,0,CL,1564418288,59,-27.37,-70.33,290.15,3.6
560,slave lake,40,CA,1564418468,72,55.28,-114.77,290.15,1.0
