,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,mount gambier,90,AU,1564418372,93,-37.83,140.78,280.15,2.1
88,kudahuvadhoo,100,MV,1564418372,69,2.67,72.89,301.09,2.11
89,rapar,77,IN,1564418372,87,23.57,70.65,299.19,7.16
90,iqaluit,75,CA,1564418372,81,63.75,-68.52,282.15,3.1
91,nikolskoye,0,RU,1564418372,58,59.7,30.79,288.15,4.0
92,bintulu,75,MY,1564418373,94,3.17,113.03,299.15,0.79
93,husavik,46,CA,1564418373,48,50.56,-96.99,290.93,4.02
94,luanda,20,AO,1564418306,69,-8.83,13.24,299.15,3.6
95,rathdrum,75,IE,1564418373,72,52.93,-6.23,291.48,4.1
96,jipijapa,75,EC,1564418373,83,-1.35,-80.58,298.15,3.1
97,kahului,20,US,1564418373,77,20.89,-156.47,297.04,7.0
98,kintampo,97,GH,1564418374,87,8.05,-1.73,298.09,1.56
99,saskylakh,72,RU,1564418374,80,71.97,114.09,279.19,3.6
100,pisco,75,PE,1564418374,30,-13.71,-76.2,295.15,2.1
101,boende,79,CD,1564418374,62,-0.28,20.88,299.49,0.74
102,abnub,0,EG,1564418374,28,27.27,31.15,309.15,3.6
103,vila,0,IT,1564418375,33,45.18,8.4,305.93,5.1
104,davila,75,PH,1564418375,94,18.47,120.58,299.15,1.5
105,fuerte olimpo,0,BR,1564418375,25,-21.04,-57.87,305.99,3.63
106,tiznit,0,MA,1564418375,86,29.7,-9.73,293.29,7.56
107,dunedin,100,NZ,1564418375,93,-45.87,170.5,282.04,1.79
108,yangambi,98,CD,1564418376,68,0.77,24.47,298.59,0.88
109,shestakovo,88,RU,1564418376,80,56.49,103.96,287.39,1.61
110,mashhad,0,IR,1564418376,35,36.3,59.61,302.15,3.1
111,atuona,0,PF,1564418376,77,-9.8,-139.03,299.49,8.31
112,goussainville,0,FR,1564418376,30,49.03,2.47,302.59,4.1
113,sampit,54,ID,1564418377,98,-2.54,112.95,294.69,0.69
114,hendaye,90,FR,1564418182,68,43.37,-1.77,297.15,2.6
115,auki,72,NG,1564418377,83,12.18,6.51,297.59,7.85
116,kodiak,20,US,1564418377,69,39.95,-94.76,299.26,5.1
117,daund,100,IN,1564418377,86,18.46,74.58,295.89,7.47
